test,chain_length,core_area,hold_ws_basic,hold_ws_fault,hold_ws_opt,hold_ws_skip,routing_time_basic,routing_time_fault,routing_time_opt,routing_time_skip,scannable_element_density,setup_ws_basic,setup_ws_fault,setup_ws_opt,setup_ws_skip,twl_after,twl_before,twl_internal_after,twl_internal_before,twl_internal_reduction_pct,twl_reduction_pct,ys_cell_count
s1196,28,4000.09,-0.005450612337975435,-0.007865680551745332,-0.00562597206967449,0.10553208605694178,00:00:50.769,00:00:45.911,00:00:44.967,00:00:41.268,0.00699984250354367,-3.5109747214422597,-3.2160612860890496,-3.5719614943557927,-3.002638223048031,269310,275750,222880,229320,2.8083028083028085,2.3354487760652765,539
s1196a,46,7687.37,-0.011962264850593398,-0.006263739704207712,-0.006174755326267356,-0.01335509518552882,00:02:07.271,00:01:50.765,00:02:12.458,00:01:32.411,0.005983841027555588,-6.0348243665983174,-5.214071988417265,-5.45465288376553,-5.505625444713723,569710,796590,512720,610300,15.988857938718661,28.48140197592237,1037
s1196b,46,7687.37,-0.011962264850593398,-0.006263739704207712,-0.006174755326267356,-0.01335509518552882,00:02:07.157,00:01:50.482,00:02:12.749,00:01:32.599,0.005983841027555588,-6.0348243665983174,-5.214071988417265,-5.45465288376553,-5.505625444713723,569710,796590,512720,610300,15.988857938718661,28.48140197592237,1037
s1238,46,7767.45,-0.007686906884149001,-0.007354506101175293,-0.006755929340519733,-0.017840479598596633,00:02:10.724,00:02:17.104,00:02:06.644,00:01:35.804,0.005922149482777488,-5.29288716725366,-4.385659071149644,-5.332732628645154,-5.158070561114504,586830,611510,506260,520060,2.6535399761565976,4.035911105296725,1040
s1238a,46,7767.45,-0.007686906884149001,-0.007354506101175293,-0.006755929340519733,-0.017840479598596633,00:02:04.131,00:02:11.030,00:01:59.074,00:01:31.669,0.005922149482777488,-5.29288716725366,-4.385659071149644,-5.332732628645154,-5.158070561114504,586830,611510,506260,520060,2.6535399761565976,4.035911105296725,1040
s13207,697,62850.3,-0.02228045588867305,-0.014453882944076178,-0.017309432155323757,-0.026708191969556795,00:05:21.203,00:10:48.352,00:05:21.385,00:03:42.943,0.011089843644342191,-6.090837340220861,-8.627115266355279,-6.289389631560266,-5.94553934025439,6482820,7255200,6400160,7038760,9.072620745699526,10.645881574594773,6888
s13207a,697,62850.3,-0.02228045588867305,-0.014453882944076178,-0.017309432155323757,-0.026708191969556795,00:05:32.343,00:10:54.672,00:05:25.526,00:03:50.688,0.011089843644342191,-6.090837340220861,-8.627115266355279,-6.289389631560266,-5.94553934025439,6482820,7255200,6400160,7038760,9.072620745699526,10.645881574594773,6888
s1423,96,11320.9,-0.010100753852557272,-0.004748701566380403,-0.006368850072036823,-0.013878398822985924,00:01:47.820,00:01:22.161,00:01:26.335,00:01:05.043,0.008479891174729925,-7.445788196752398,-6.780883602105383,-7.456929507164213,-7.086283760356577,1132620,1296180,1081360,1126880,4.039471815987506,12.618617784566958,1397
s1423a,96,11320.9,-0.010100753852557272,-0.004748701566380403,-0.006368850072036823,-0.013878398822985924,00:01:40.678,00:01:17.868,00:01:22.145,00:00:58.034,0.008479891174729925,-7.445788196752398,-6.780883602105383,-7.456929507164213,-7.086283760356577,1132620,1296180,1081360,1126880,4.039471815987506,12.618617784566958,1397
s15850,725,74071,-0.014293178156716643,-0.017156554440509196,-0.0203178590813859,-0.02573552555017381,00:09:21.356,00:14:16.392,00:06:38.531,00:06:30.413,0.00978790619810722,-11.30808367839991,-11.406676814845547,-11.171032415293588,-11.64389950749395,6882860,8187940,6806140,7974220,14.648203836864296,15.93905182500116,8421
s15850a,725,74071,-0.014293178156716643,-0.017156554440509196,-0.0203178590813859,-0.02573552555017381,00:09:19.712,00:14:52.803,00:06:39.189,00:06:33.062,0.00978790619810722,-11.30808367839991,-11.406676814845547,-11.171032415293588,-11.64389950749395,6882860,8187940,6806140,7974220,14.648203836864296,15.93905182500116,8421
s27,8,750.72,-0.007517514601376077,0.0019561297579858065,-0.0033626435920867297,0.0546855354256079,00:00:18.133,00:00:16.100,00:00:15.091,00:00:10.814,0.010656436487638534,1.3468093688170983,1.8235342640925332,1.3795533994530376,1.858528938907645,93030,93710,58020,52880,-9.720121028744327,0.725642940988155,97
s298,23,2254.66,-0.006875028518854752,-0.006284362097473365,-0.007655154504746704,-0.010999867994478638,00:00:30.305,00:00:57.099,00:00:33.103,00:00:23.133,0.010201094621805505,4.2796722932401075,4.188285392606514,4.252434524872827,4.306313205692469,260505,314105,220180,235520,6.513247282608696,17.064357460085002,271
s344,35,3578.43,-0.006260547812921642,-0.006456807493650357,-0.0062722606661627,0.0277908814937918,00:00:30.957,00:00:29.977,00:00:34.910,00:00:27.703,0.009780825669357791,4.265955709427537,4.630518322066605,4.21884317200053,4.7078524633462635,376150,425950,341300,353020,3.3199252167016033,11.691513088390657,456
s349,35,3389.5,-0.005957456918626978,-0.009126144542826243,-0.005837497317423541,0.026542158111528345,00:00:34.327,00:00:39.920,00:00:38.616,00:00:30.019,0.010326006785661602,4.03960343276528,4.445571148144945,4.031841641336002,4.539738491400046,399950,406230,328360,337320,2.6562314715996678,1.5459222607882235,422
s35932,2083,219511,-0.01225752867234309,-0.010596190891308163,-0.012892798305000256,0.011052770123098202,00:13:42.266,00:23:04.994,00:13:13.524,00:12:39.142,0.009489273886046713,-3.593171195618083,-4.315593338173166,-3.4730761472018106,-3.1770675878261376,20797270,25293510,20687760,24443080,15.363530291599915,17.776259601771365,24030
s382,30,3002.88,-0.009839490611898326,-0.009572787278264864,-0.010879158992712384,-0.016971730057257533,00:00:43.902,00:00:34.901,00:00:42.909,00:00:33.911,0.009990409207161126,3.728025549341144,2.9496370625318704,3.6651616112844847,3.640925441971472,290820,367060,247340,280740,11.897129016171547,20.770446248569716,365
s38584,1612,184642,-0.015886958864792484,,-0.01736999482302989,-0.018912150159000597,00:16:48.616,,00:22:40.515,00:16:42.510,0.008730408032841933,-11.126733627179771,,-10.726733582770848,-10.72248808980461,16681655,19609155,16589860,19455680,14.72999144722775,14.929251158451242,21576
